# Statistics for plot.txt (t=2.5 to 3.5)
# Variable         Average Std_Dev        
Fx               -2.062389 0.394350       
Fz               19.672246 1.106071       
GrTr              0.071430 0.333974       
RollRes           2.133819 0.305976       
Slip             -0.022333 0.023338       
Ty               -0.007857 0.036737       
Vz                0.003231 0.011784       
WxR               0.293599 0.006670       
Wy                2.669078 0.060633       
x                 0.250069 0.086638       
z                -0.096474 0.000907       
